"scenario","goal","long_goal","dimension","region_id","region_name","value","p.value"
"2012 - 2023","AO","Artisanal opportunities","average_yearly_change_in_scores",0,"Global average",-0.00779720279720636,0.919915399292769
"2012 - 2023","AO","Artisanal opportunities","average_yearly_change_in_scores",1,"Cocos Islands",-0.0747552447552559,0.139761434402837
"2012 - 2023","AO","Artisanal opportunities","average_yearly_change_in_scores",2,"Christmas Island",-0.0747552447552559,0.139761434402837
"2012 - 2023","AO","Artisanal opportunities","average_yearly_change_in_scores",3,"Norfolk Island",0.270349650349656,1.63108627466552e-07
"2012 - 2023","AO","Artisanal opportunities","average_yearly_change_in_scores",5,"New Caledonia",-0.00122377622377902,0.938224172826689
"2012 - 2023","AO","Artisanal opportunities","average_yearly_change_in_scores",6,"Vanuatu",-3.8588111888114,0.00115929368058699
"2012 - 2023","AO","Artisanal opportunities","average_yearly_change_in_scores",7,"Solomon Islands",1.33290209790217,0.0231964356183501
"2012 - 2023","AO","Artisanal opportunities","average_yearly_change_in_scores",8,"Palau",-4.76402097902122,1.29421123361004e-06
"2012 - 2023","AO","Artisanal opportunities","average_yearly_change_in_scores",9,"Micronesia",-1.4141608391609,0.0535869300409775
"2012 - 2023","AO","Artisanal opportunities","average_yearly_change_in_scores",10,"Nauru",2.41472027972041,0.0162540782161921
"2012 - 2023","AO","Artisanal opportunities","average_yearly_change_in_scores",11,"Marshall Islands",-5.80069320570331e-15,0.113937412151972
"2012 - 2023","AO","Artisanal opportunities","average_yearly_change_in_scores",13,"Northern Mariana Islands and Guam",0.261153846153877,0.0888231115994295
"2012 - 2023","AO","Artisanal opportunities","average_yearly_change_in_scores",14,"Taiwan",0.743636363636384,9.83862345564397e-06
"2012 - 2023","AO","Artisanal opportunities","average_yearly_change_in_scores",15,"Philippines",-1.01335664335668,0.152263264689373
"2012 - 2023","AO","Artisanal opportunities","average_yearly_change_in_scores",16,"Australia",0.105349650349651,0.0481718737029497
"2012 - 2023","AO","Artisanal opportunities","average_yearly_change_in_scores",17,"Papua New Guinea",0.00884615384615323,0.356789078707867
"2012 - 2023","AO","Artisanal opportunities","average_yearly_change_in_scores",18,"Fiji",-3.14888111888125,1.00470496468373e-07
"2012 - 2023","AO","Artisanal opportunities","average_yearly_change_in_scores",19,"Tuvalu",-1.27594405594414,0.00619646451613973
"2012 - 2023","AO","Artisanal opportunities","average_yearly_change_in_scores",20,"South Korea",0.760769230769276,0.000743062091864911
