"scenario","goal","long_goal","dimension","region_id","region_name","value","p.value"
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",0,"Global average",0.189274725274734,0.0586194761054302
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",1,"Cocos Islands",0.039010989010992,0.718939074575918
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",2,"Christmas Island",0.039010989010992,0.718939074575918
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",3,"Norfolk Island",2.82920879120884,4.43775299584747e-05
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",5,"New Caledonia",0.00843956043955914,0.416499077248108
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",6,"Vanuatu",-3.29085714285733,0.000302259466942577
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",7,"Solomon Islands",1.68635164835176,0.000901868155784424
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",8,"Palau",-4.39756043956068,4.06428154495661e-08
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",9,"Micronesia",1.61483516483528,0.00887575724735292
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",10,"Nauru",1.3438681318682,0.103990849227998
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",11,"Marshall Islands",-2.63148192562387e-16,0.108864301063032
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",13,"Northern Mariana Islands and Guam",2.25650549450565,0.000629063874639307
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",14,"Taiwan",1.49395604395611,2.87811668926228e-05
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",15,"Philippines",-0.122989010988994,0.833745448474055
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",16,"Australia",0.15219780219781,0.0739646485835637
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",17,"Papua New Guinea",0.0334945054945017,0.0608075661699428
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",18,"Fiji",-2.51118681318692,2.07000277321928e-06
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",19,"Tuvalu",1.86643956043965,0.0628094814840254
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",20,"South Korea",0.742571428571474,1.97177267428197e-05
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",21,"North Korea",1.01340659340666,0.000546470378479137
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",24,"Cambodia",0.376967032967035,7.48807374672597e-06
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",25,"Thailand",-0.136835164835175,0.0119166978735175
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",26,"Andaman and Nicobar",0.51573626373627,0.174391179402095
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",28,"Comoro Islands",0.138461538461447,0.733000891511966
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",29,"Mayotte",0.166659340659289,0.768093484616308
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",31,"Seychelles",0.885384615384652,0.0020578031491011
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",32,"Réunion",0.0205714285714163,0.967548254566018
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",37,"Mauritius",0.115428571428562,0.0674778092343977
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",39,"Maldives",-1.2366593406595,0.344344977628045
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",40,"Sri Lanka",0.036747252747249,0.241990576010514
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",41,"Mozambique",-0.0492087912089139,0.94214374400338
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",42,"Madagascar",2.10738461538473,0.0202002065333479
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",43,"Kenya",-3.12637362637391,0.0365605154527253
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",44,"Somalia",0.0647032967032654,0.601123401337062
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",45,"Eritrea",0.113758241758238,0.0473489928967947
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",46,"Djibouti",-0.396901098901258,0.598500902378005
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",47,"Yemen",-1.00325274725288,0.0683840341929731
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",48,"Oman",-1.42597802197814,0.00355873797623203
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",49,"Sudan",-0.177714285714303,0.000723437374873054
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",50,"Saudi Arabia",-0.040021978021979,0.102210766977042
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",51,"Kuwait",-0.45681318681322,0.178060273373999
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",52,"Bahrain",0.376439560439552,0.16155253010325
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",53,"Pakistan",5.50938461538493,2.32043305811291e-05
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",54,"United Arab Emirates",-0.25184615384617,0.000559805955260293
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",55,"Azores",0.747296703296767,0.0153860991145084
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",56,"Cape Verde",-0.424241758241763,0.000354821602986879
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",57,"Madeira",1.05246153846161,0.000705968680613316
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",58,"Canary Islands",0.829406593406661,0.0107470142303592
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",59,"Belgium",0.0239780219780264,0.720389607257421
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",60,"Gibraltar",0.956197802197863,7.20828344282295e-05
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",61,"Tunisia",-0.320967032967051,4.12264795854449e-06
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",62,"Morocco",-0.744109890109915,2.01575754496593e-07
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",63,"Western Sahara",-2.12035164835173,3.81185950098165e-06
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",64,"Mauritania",-0.867692307692326,0.000486824656887453
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",65,"Gambia",-0.769472527472562,1.4863058750558e-07
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",66,"Senegal",-1.27375824175829,1.07531376719743e-07
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",67,"Libya",-1.87356043956055,0.0149787967286956
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",68,"Malta",1.4627692307693,1.81310438524996e-07
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",69,"Latvia",0.753120879120926,0.00556538049549587
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",70,"Estonia",0.819318681318724,6.42441465779208e-05
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",71,"Bulgaria",1.28905494505503,0.000189349396575316
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",72,"Romania",1.69404395604407,8.92277939726858e-05
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",73,"Russia",1.05540659340665,0.000684690877890971
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",74,"Georgia",0.5533186813187,2.4423645213859e-06
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",75,"Ukraine",-0.0480439560439657,0.488796094422895
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",76,"Turkey",-0.248571428571444,2.22891997278445e-05
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",77,"Syria",0.6431208791209,0.557963118835335
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",78,"Lebanon",0.105802197802113,0.896882490677043
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",79,"Israel",0.916219780219834,0.102043352232056
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",80,"Greece",0.687076923076988,0.0174004567473777
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",81,"Cyprus",0.52938461538467,0.0246612067391608
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",82,"Albania",2.55408791208806,0.00246581956988504
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",84,"Algeria",-0.00764835164836497,0.908970957215535
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",85,"Ascension",0.187362637362646,0.0160330896200687
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",86,"Saint Helena",1.22736263736269,2.86327200052339e-05
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",88,"Tristan da Cunha",-0.930505494505545,0.000383661702377439
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",95,"Falkland Islands",0.187362637362646,0.0160330896200687
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",96,"Sierra Leone",-0.0575164835164847,0.0276376342760596
"2012 - 2025","AO","Artisanal opportunities","average_yearly_change_in_scores",97,"Liberia",0.234153846153852,0.647163676445506
